Data size,log2(size),Seq,Para1,Seq,Para,Seq/Para
1024,10,1.032933E-06,5.523102E-06,1.0087236328125E-09,5.393654296875E-09,0.187020446118866
2048,11,3.273271E-06,4.801103E-06,1.59827685546875E-09,2.34428857421875E-09,0.68177479216755
4096,12,5.374532E-06,2.582139E-06,1.3121416015625E-09,6.30405029296875E-10,2.08142629037399
8192,13,9.904994E-06,5.949412E-06,1.20910571289062E-09,7.2624658203125E-10,1.66486940221992
16384,14,1.8921541E-05,1.0053372E-05,1.15487921142578E-09,6.13609130859375E-10,1.88210890833444
32768,15,2.9659437E-05,8.277507E-06,9.05134185791016E-10,2.52609466552734E-10,3.58313644434248
65536,16,6.4533551E-05,1.4247494E-05,9.84703842163086E-10,2.17399505615234E-10,4.5294667960555
131072,17,0.000187032125,4.6593593E-05,1.42694187164307E-09,3.55480903625488E-10,4.01411681215484
262144,18,0.000379578625,0.000229252399,1.4479775428772E-09,8.74528499603271E-10,1.65572367685452
524288,19,0.000803039479,0.001382735156,1.53167625236511E-09,2.63735800933838E-09,0.580761598137887
1048576,20,0.002272607464,0.006214236116,2.16732736968994E-09,5.92635737991333E-09,0.365709867082238
2097152,21,0.005637300527,0.012942696623,2.68807436323166E-09,6.1715586771965E-09,0.435558422731022
4194304,22,0.009740949706,0.009771634617,2.3224233880043E-09,2.32973924088478E-09,0.996859797546399
8388608,23,0.019428172169,0.022077107211,2.31601860153675E-09,2.63179626595974E-09,0.880014396058186
16777216,24,0.040823824013,0.051124776889,2.43328952866793E-09,3.04727416568995E-09,0.798513489880552
