Data size,log2(size),Seq,Para1,Para2,Seq,Para1,Para2,Seq/Para1,Seq/Para2
1024,10,1.514133E-06,1.903583E-06,3.505474E-06,1.4786455078125E-09,1.8589677734375E-09,3.423314453125E-09,0.795412125449744,0.431933883976889
2048,11,3.337052E-06,2.169088E-06,3.566174E-06,1.629419921875E-09,1.059125E-09,1.7412958984375E-09,1.53845855954208,0.9357513121906
4096,12,5.516186E-06,2.598252E-06,3.168141E-06,1.34672509765625E-09,6.343388671875E-10,7.73471923828125E-10,2.12303733433093,1.74114283423623
8192,13,1.0931644E-05,7.157294E-06,4.049589E-06,1.33442919921875E-09,8.73693115234375E-10,4.94334594726563E-10,1.52734315510862,2.69944530173309
16384,14,2.3914993E-05,7.923365E-06,6.631239E-06,1.45965533447266E-09,4.83603820800781E-10,4.04738708496094E-10,3.01828743217055,3.60641397482431
32768,15,4.3318365E-05,1.1280527E-05,1.0014627E-05,1.32197158813477E-09,3.44254364013672E-10,3.05622161865234E-10,3.84010117612413,4.32550957714152
65536,16,8.7121861E-05,2.7661413E-05,2.0293391E-05,1.32937409973145E-09,4.22079666137695E-10,3.09652572631836E-10,3.14958100658126,4.29311498507076
131072,17,0.000208672596,0.000122747382,3.0236008E-05,1.59204556274414E-09,9.36488204956055E-10,2.30682434082031E-10,1.70001667326803,6.90145987525867
262144,18,0.000406861136,0.000108201459,7.5455036E-05,1.55205206298828E-09,4.12755809783936E-10,2.87838119506836E-10,3.76021857524121,5.39210048219976
524288,19,0.000758612983,0.000539257469,0.000531670299,1.44693943595886E-09,1.02855199623108E-09,1.01408061790466E-09,1.40677325138727,1.42684852704176
1048576,20,0.002310030796,0.006139663186,0.002013729396,2.20301704025269E-09,5.85523909187317E-09,1.92044200515747E-09,0.376247153307605,1.14714062405235
2097152,21,0.00456598639,0.002654337759,0.002821913983,2.17723197460175E-09,1.26568687391281E-09,1.34559344434738E-09,1.72019795691721,1.61804591405223
4194304,22,0.006952143117,0.005145283178,0.00498516431,1.65752008366585E-09,1.22673110437393E-09,1.18855579137802E-09,1.35116822077465,1.39456649463977
8388608,23,0.013991403821,0.00974919333,0.009738528042,1.6679053093195E-09,1.16219441056252E-09,1.16092300915718E-09,1.43513451291872,1.43670622096669
16777216,24,0.028225673274,0.018519007365,0.019542303565,1.68238122904301E-09,1.10381885558367E-09,1.16481206208467E-09,1.52414612282865,1.44433705986186
