size;log4(size);name;cpu_time;gpu_naive_kern;accel_naive_kern;gpu_naive_tot;accel_naive_tot;gpu_shared_kern;accel_shared_kern;gpu_shared_tot;accel_shared_tot;;log(cpu_time);log(gpu_n_k);log(accel_n_k);log(gpu_n_t);log(accel_n_t);log(gpu_s_k);log(accel_s_k);log(gpu_s_t);log(accel_s_t)
262144;9;baboon.pgm;1.74225E-08;6.21908E-11;280.145;6.15146E-10;28.3225;4.42157E-11;394.033;5.82438E-10;29.913;;-7.75888952680806;-10.2062738565431;2.44738287562819;-9.21102179565679;1.45213158546847;-10.3544234950697;2.59553259522088;-9.23475029809759;1.47585997097548
262144;9;barbara.pgm;1.89252E-08;1.11937E-10;169.07;7.59161E-10;24.9292;6.14349E-11;308.054;6.66076E-10;28.413;;-7.72295952221429;-9.95102633670841;2.22806655265797;-9.11966611080185;1.39670834183469;-10.2115848443078;2.48862685236543;-9.17647621452712;1.45351709133154
154401;8.61816128544617;bird.pgm;1.75596E-08;1.0052E-10;174.688;6.7242E-10;26.114;7.35073E-11;238.882;6.21117E-10;28.2709;;-7.75548538135539;-9.99774752007946;2.24226307262587;-9.1723593776828;1.4168733997768;-10.1336695290479;2.37818342645483;-9.20682658393243;1.45133963441142
154401;8.61816128544617;buffalo.pgm;1.74569E-08;9.98676E-11;174.801;6.75292E-10;25.8509;7.49801E-11;232.821;6.20136E-10;28.1502;;-7.75803287588967;-10.0005753868843;2.24254391281348;-9.17050839521753;1.41247566767095;-10.1250539847011;2.36702215025962;-9.20751305635256;1.44948148474999
4194304;11;Carre.pgm;1.81529E-08;1.02748E-11;1766.74;5.29563E-10;34.2789;5.38491E-12;3371.06;5.34945E-10;33.9341;;-7.74105398476612;-10.9882266229547;3.2471726418251;-9.27608236619897;1.53502687709028;-11.2688215508303;3.52776648240439;-9.27169086737014;1.53063633532454
165600;8.66867157363703;casablanca.pgm;1.88645E-08;1.11499E-10;169.189;7.09701E-10;26.5809;7.55642E-11;249.649;6.37818E-10;29.5766;;-7.72435470120344;-9.95272902765106;2.22837212351036;-9.14892458283061;1.42456968158852;-10.1216839111773;2.39732983077426;-9.19530322860142;1.47094824788579
73800;8.08566659791756;coins.pgm;1.78736E-08;1.98033E-10;90.2556;9.58419E-10;18.649;1.49275E-10;119.736;8.06023E-10;22.175;;-7.7477879655317;-9.70326243335602;1.95547415765412;-9.01844458527888;1.27065554895299;-9.82601292014618;2.07822474565079;-9.09365256535302;1.34586362850376
754000;9.76210249896538;dewey_defeats_truman.pgm;1.75679E-08;2.62894E-11;668.253;5.24089E-10;33.5209;1.7868E-11;983.209;5.21318E-10;33.6991;;-7.75528014931401;-10.5802193256343;2.82494091711884;-9.28059495552243;1.52531567045306;-10.7479240562002;2.99264584529789;-9.2828972795508;1.52761830234751
10668000;11.6733931971065;Drone_huge.pgm;1.79694E-08;4.59282E-12;3912.49;5.19277E-10;34.6047;2.32401E-12;7732.08;5.20617E-10;34.5156;;-7.74546642378359;-11.3379205749475;3.59245324053524;-9.28460091290329;1.53913508854544;-11.6337620075487;3.88829633880954;-9.28348165473303;1.53801542732375
345600;9.1993718459691;Drone.pgm;1.74715E-08;4.98659E-11;350.369;5.7774E-10;30.2411;3.55945E-11;490.848;5.41337E-10;32.2747;;-7.75766980745224;-10.3021963382299;2.5445256736247;-9.23826756291057;1.48059758429086;-10.4486171032682;2.69094702576611;-9.26653228817465;1.50886221410034
393093;9.29225557382441;ladyzhenskaya.pgm;1.7486E-08;4.20803E-11;415.539;5.59032E-10;31.279;2.97739E-11;587.292;5.34835E-10;32.6941;;-7.75730952594763;-10.3759211726594;2.61861179031013;-9.25256333160256;1.49525286007118;-10.5261642746061;2.76885408499157;-9.27178017992633;1.51446938664714
262144;9;lena_noisy.pgm;1.75675E-08;5.79916E-11;302.932;6.12206E-10;28.6954;4.36429E-11;402.528;5.75264E-10;30.5381;;-7.75529003779074;-10.2366349088137;2.48134515213567;-9.21310241836148;1.45781228298024;-10.3600863989601;2.60479609544314;-9.24013280325686;1.48484201290427
262144;9;lena.pgm;1.77351E-08;6.1779E-11;287.073;6.19446E-10;28.6305;4.49642E-11;394.426;5.7831E-10;30.6671;;-7.75116635840006;-10.2091591257852;2.45799234783464;-9.20799654711552;1.45682893256036;-10.3471331291198;2.5959655352863;-9.23783929791382;1.48667270935239
154401;8.61816128544617;milking.pgm;1.80729E-08;1.0502E-10;172.09;6.88164E-10;26.2624;7.7193E-11;234.126;6.16925E-10;29.2951;;-7.74297215441498;-9.97872798604896;2.23575563458672;-9.16230805041647;1.41933441174315;-10.112422080483;2.36944964534775;-9.20976763023899;1.46679498482772
90000;8.22881869049588;mona_lisa.pgm;1.82127E-08;1.73712E-10;104.844;8.67593E-10;20.9922;1.2837E-10;141.876;7.31838E-10;24.8862;;-7.73962566605685;-9.76017017951621;2.02054358175939;-9.06168396066158;1.32205795539005;-9.8915364587964;2.15190893563289;-9.13558504393133;1.39595858704561
65536;8;pepper.pgm;1.83075E-08;2.16472E-10;84.5723;9.60619E-10;19.0581;1.63384E-10;112.052;8.72875E-10;20.9738;;-7.73737095719111;-9.66459827035867;1.92722814167942;-9.01744882773916;1.28007960141005;-9.78679047566125;2.04941961259988;-9.05904794495093;1.32167712238337
118000;8.42421366701196;snap.pgm;1.80341E-08;1.2803E-10;140.858;7.1829E-10;25.107;9.61499E-11;187.563;6.79967E-10;26.522;;-7.74390552646936;-9.89268825450933;2.14878151768452;-9.14370017975221;1.39979482257822;-10.0170511631101;2.27314717050009;-9.16751216386092;1.42360627072117
307200;9.11440934524794;surf.pgm;1.78488E-08;5.5927E-11;319.145;6.07215E-10;29.3945;3.94381E-11;452.577;5.69389E-10;31.3473;;-7.74839097680091;-10.252378476191;2.50398804478832;-9.21665750862647;1.46826607724537;-10.4040840161292;2.65569247929857;-9.24459092722322;1.49620014020346
